127.0.0.1 - - [23/Feb/2024:09:41:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:06:17 +0900] "GET /projectMVC/ HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:06:18 +0900] "GET /projectMVC/ HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:06:45 +0900] "GET /projectMVC/ HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:07:15 +0900] "GET /projectMVC/ HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:08:21 +0900] "GET /projectMVC/member/logout.do HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:08:22 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:13 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:14 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:15 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:15 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:16 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:19 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:22:46 +0900] "GET /projectMVC/ HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:23:38 +0900] "GET /projectMVC/ HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:23:38 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:23:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:23:40 +0900] "GET /projectMVC/ HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:23:41 +0900] "GET /projectMVC/ HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:23:59 +0900] "GET /projectMVC/ HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:24:52 +0900] "GET /projectMVC/member/updateForm.do HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:30:52 +0900] "GET /projectMVC/ HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:30:53 +0900] "POST /projectMVC/member/logout.do HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [23/Feb/2024:10:30:54 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:15:33 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:15:34 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:15:34 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:15:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:15:35 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:16:11 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:16:11 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:00 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:00 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:04 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:04 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:05 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:05 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:05 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:06 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:19:06 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:22:54 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:22:54 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:22:58 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:22:58 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:22:59 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:22:59 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:22:59 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:23:40 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:23:43 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:23:43 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:23:45 +0900] "POST /projectMVC/member/logout.do HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:23:47 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:23:48 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:23:50 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:25:13 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:25:15 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:27:14 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:27:15 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:28:08 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:28:55 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:30:38 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:30:39 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:30:57 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:30:57 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:32:04 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:32:10 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:32:19 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:32:19 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:32:22 +0900] "POST /projectMVC/member/logout.do HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:32:23 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:32:54 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:34:10 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:34:10 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:34:11 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:35:08 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:35:09 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:35:30 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 500 3348
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:35:38 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:35:38 +0900] "GET /projectMVC/member/image/cat.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:35:49 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:36:07 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:36:08 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:36:31 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:36:53 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:38:16 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:38:22 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:39:57 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:39:58 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:39:59 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:40:02 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:40:20 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:40:21 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:13 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:13 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:14 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:16 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:19 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:22 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:30 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:30 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:32 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:33 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:34 +0900] "POST /projectMVC/member/logout.do HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:36 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:41:36 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:34 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:35 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:40 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:41 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:41 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:56 +0900] "POST /projectMVC/member/logout.do HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:57 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:42:57 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 3978
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:46:50 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:47:14 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:47:55 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:48:09 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:11:59:29 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:04:09 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:04:10 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:06:16 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:06:18 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:08 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:08 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:08 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:09 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:09 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:09 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:18 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:09:26 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:11 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:13 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:13 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:13 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 200 3383
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:19 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:22 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:23 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:24 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:24 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:13:25 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:24 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:24 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:24 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:27 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:30 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:52 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:56 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:19:59 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:42 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:42 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:43 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:43 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:46 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:50 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:51 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:51 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:51 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:52 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:52 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:22:52 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 500 1554
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:48 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:48 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:49 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:49 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:49 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:50 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:50 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:50 +0900] "GET /projectMVC/image/cat.jpg HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:56 +0900] "POST /projectMVC/member/checkId2.do HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:23:59 +0900] "POST /projectMVC/member/write.do HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:24:01 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:30:03 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:30:04 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:30:21 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:31:37 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:31:41 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:31:41 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:33:40 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:33:41 +0900] "POST /projectMVC/member/updateForm.do HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:33:43 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:34:01 +0900] "GET /projectMVC/index.jsp HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [23/Feb/2024:12:34:02 +0900] "POST /projectMVC/member/updateForm.do HTTP/1.1" 200 3641
